,국가(대륙)별,상품군별,판매유형별,시점,데이터
243,미국,농축수산물,면세점 이외,2017.2/4,0
244,미국,농축수산물,면세점 이외,2017.3/4,0
245,미국,농축수산물,면세점 이외,2017.4/4,2
246,미국,농축수산물,면세점 이외,2018.1/4,1
247,미국,농축수산물,면세점 이외,2018.2/4,0
248,미국,농축수산물,면세점 이외,2018.3/4,0
249,미국,농축수산물,면세점 이외,2018.4/4,33
250,미국,농축수산물,면세점 이외,2019.1/4,2
251,미국,농축수산물,면세점 이외,2019.2/4,2
252,미국,농축수산물,면세점 이외,2019.3/4,7
253,미국,농축수산물,면세점 이외,2019.4/4,2
254,미국,농축수산물,면세점 이외,2020.1/4,2
255,미국,농축수산물,면세점 이외,2020.2/4,12
256,미국,농축수산물,면세점 이외,2020.3/4,8
257,미국,농축수산물,면세점 이외,2020.4/4,11
258,미국,농축수산물,면세점 이외,2021.1/4,10
259,미국,농축수산물,면세점 이외,2021.2/4,1
260,미국,농축수산물,면세점 이외,2021.3/4,4
261,미국,농축수산물,면세점 이외,2021.4/4,5
262,미국,농축수산물,면세점 이외,2022.1/4,10
263,미국,농축수산물,면세점 이외,2022.2/4 p),15
264,미국,생활용품 및 자동차용품,면세점 이외,2017.1/4,3060
265,미국,생활용품 및 자동차용품,면세점 이외,2017.2/4,2741
266,미국,생활용품 및 자동차용품,면세점 이외,2017.3/4,2349
267,미국,생활용품 및 자동차용품,면세점 이외,2017.4/4,2276
268,미국,생활용품 및 자동차용품,면세점 이외,2018.1/4,2483
269,미국,생활용품 및 자동차용품,면세점 이외,2018.2/4,2357
270,미국,생활용품 및 자동차용품,면세점 이외,2018.3/4,2150
271,미국,생활용품 및 자동차용품,면세점 이외,2018.4/4,2159
272,미국,생활용품 및 자동차용품,면세점 이외,2019.1/4,2174
273,미국,생활용품 및 자동차용품,면세점 이외,2019.2/4,2410
274,미국,생활용품 및 자동차용품,면세점 이외,2019.3/4,3407
275,미국,생활용품 및 자동차용품,면세점 이외,2019.4/4,3713
276,미국,생활용품 및 자동차용품,면세점 이외,2020.1/4,2256
277,미국,생활용품 및 자동차용품,면세점 이외,2020.2/4,3217
278,미국,생활용품 및 자동차용품,면세점 이외,2020.3/4,3028
279,미국,생활용품 및 자동차용품,면세점 이외,2020.4/4,2966
280,미국,생활용품 및 자동차용품,면세점 이외,2021.1/4,2657
281,미국,생활용품 및 자동차용품,면세점 이외,2021.2/4,2885
282,미국,생활용품 및 자동차용품,면세점 이외,2021.3/4,2773
283,미국,생활용품 및 자동차용품,면세점 이외,2021.4/4,1073
284,미국,생활용품 및 자동차용품,면세점 이외,2022.1/4,379
285,미국,생활용품 및 자동차용품,면세점 이외,2022.2/4 p),326
286,미국,기 타,면세점 이외,2017.1/4,2630
287,미국,기 타,면세점 이외,2017.2/4,3085
288,미국,기 타,면세점 이외,2017.3/4,2935
289,미국,기 타,면세점 이외,2017.4/4,4075
290,미국,기 타,면세점 이외,2018.1/4,3793
291,미국,기 타,면세점 이외,2018.2/4,3540
292,미국,기 타,면세점 이외,2018.3/4,3633
293,미국,기 타,면세점 이외,2018.4/4,4445
294,미국,기 타,면세점 이외,2019.1/4,3820
295,미국,기 타,면세점 이외,2019.2/4,4273
296,미국,기 타,면세점 이외,2019.3/4,5897
297,미국,기 타,면세점 이외,2019.4/4,7353
298,미국,기 타,면세점 이외,2020.1/4,7953
299,미국,기 타,면세점 이외,2020.2/4,9792
300,미국,기 타,면세점 이외,2020.3/4,9384
301,미국,기 타,면세점 이외,2020.4/4,11602
302,미국,기 타,면세점 이외,2021.1/4,12863
303,미국,기 타,면세점 이외,2021.2/4,11915
304,미국,기 타,면세점 이외,2021.3/4,11916
305,미국,기 타,면세점 이외,2021.4/4,8422
306,미국,기 타,면세점 이외,2022.1/4,9370
307,미국,기 타,면세점 이외,2022.2/4 p),8192
308,중국,컴퓨터 및 주변기기,면세점 이외,2017.1/4,44
309,중국,컴퓨터 및 주변기기,면세점 이외,2017.2/4,26
310,중국,컴퓨터 및 주변기기,면세점 이외,2017.3/4,35
311,중국,컴퓨터 및 주변기기,면세점 이외,2017.4/4,64
312,중국,컴퓨터 및 주변기기,면세점 이외,2018.1/4,32
313,중국,컴퓨터 및 주변기기,면세점 이외,2018.2/4,20
314,중국,컴퓨터 및 주변기기,면세점 이외,2018.3/4,16
315,중국,컴퓨터 및 주변기기,면세점 이외,2018.4/4,26
